"i","w","phi_logit","phi","log_K","K","log_psi","psi","mu_rho","rho","r","kappa","gamma"
179,5.2785738497484e-07,-0.583941307967957,0.358026203870566,8.08200690424246,3235.72050601402,4.56012938849201,95.5958480325167,-1.79775873774238,0.142124111338149,0.0663089853031274,0.398465057059412,0.421829560274977
180,3.76672343614086e-05,-0.538897835360694,0.368444011077113,8.06572638489821,3183.46780046469,4.87589782416958,131.091797775326,-1.47765508657623,0.185781865904168,0.178028654022053,0.45041830677173,0.693620596106328
181,1.82780706020087e-06,-0.709709637045179,0.329663002964059,7.80057689690829,2442.01035956629,4.52051210437581,91.8826394337759,-1.83101879456035,0.138116950477885,0.0524342888639427,0.52989286568359,0.380979147919031
182,5.20246350878883e-07,-0.551584602968825,0.365496847191736,7.71203110004342,2235.07731668281,4.79991728514711,121.500367218086,-1.72853003655281,0.150775700771883,0.0270256640213672,0.397479184423,0.396296998966631
183,0.00132832682753231,-0.130311388601089,0.467468175226438,8.10661054527887,3316.31844753238,4.24022112029273,69.4232010202167,-2.10491498539242,0.108620027656643,0.131833282495424,0.645941086268059,0.540371930946507
184,8.65467152375495e-07,-0.493478613668634,0.379074438234321,7.59406603010322,1986.37377156733,4.54325808300605,93.9965503324887,-1.86692791594337,0.133897588602523,0.0210422481084233,0.304708909399449,0.425620133138337
185,0.00338329274357549,-0.116519518318596,0.470903033277215,9.45378045063442,12756.2987809661,5.34239872898878,209.013476132455,-1.2520327713904,0.222348454727703,0.121966935412689,0.648969980551626,0.638440971505651
186,1.19668993393589e-06,-0.599156568483342,0.354536681310415,7.33614025921089,1534.77682598126,4.77090230295389,118.025688857465,-1.75017662437928,0.148024921920399,0.0221565593853425,0.356800301264239,0.49093924150947
187,9.18765788310941e-06,-0.507579271957495,0.375761171915608,7.7579122374323,2340.01410809102,4.69595624045077,109.503470240754,-2.12004800316762,0.107163477482445,0.016352180199656,0.358439372589426,0.370977683681426
188,5.29608352777827e-07,-0.536949751211345,0.368897432724977,7.86949346372598,2616.24003201694,4.67916264479865,107.679868512273,-1.76516701101969,0.146144388494179,0.0359206921234146,0.677759951674477,0.469674812165851
189,0.00125668228017552,-0.0914337126703264,0.477157483471028,8.55555827630995,5195.55263596672,5.28030539915951,196.429855705193,-1.55078898840961,0.174972342937299,0.129551844899076,0.98055471270133,0.298287719495276
190,1.08269350464986e-07,-0.60487100977645,0.353230075808594,8.00125438998445,2984.69961712577,4.61043732907683,100.528103887322,-1.84891296517416,0.136000577873233,0.0445093691474289,0.352603865028579,0.422024464017817
191,2.65950052970308e-06,-0.649770269632732,0.343041308406901,8.1931951616329,3616.25833670463,4.75255833465298,115.880366384381,-1.91593740565851,0.128315283673136,0.0689627487428046,0.339387917505246,0.489697970090574
192,6.07381567778436e-05,0.804255238863907,0.690883981381253,8.83433128876933,6865.96096519606,5.10188796827712,164.331867963518,-1.69629942524975,0.154949199656799,0.0744815483859461,0.292094751851103,0.505254364718652
193,0.000497357166510702,-0.696270909070073,0.332639533213553,9.82090867343113,18414.7761587849,5.12894787245361,168.839383995021,-1.81952409435476,0.139490987663756,0.0813823563088901,0.955948095934371,0.429418898799303
194,2.53103719355455e-05,-0.674239273827117,0.337548247346878,8.60516846128045,5459.80558673786,5.29496618390694,199.330885260834,-1.77979326173191,0.144328663955301,0.111918142517973,1.06337819592042,0.278635372615834
195,1.77797468161872e-07,-0.709744103638719,0.329655386398006,7.85247762412167,2572.09912361145,4.5921112129247,98.7025925361436,-1.92751865148157,0.127025482324615,0.0477938019426394,0.388996807973486,0.445596210911799
196,1.59494313277784e-06,-0.543168935906826,0.367450715416476,8.39480793749546,4424.03713650937,4.62880973813721,102.392118117812,-1.71869384219482,0.152039481540237,0.0439823246488613,0.404528443652355,0.418181168542237
197,2.06775631918602e-06,0.825580432201284,0.695419625314427,8.46231097707749,4732.98318449137,5.03625389928675,153.892437300035,-1.46944535959554,0.187026931215042,0.0938280464513582,0.267735724861766,0.521996385969112
198,0.000114058968712709,0.189014125916803,0.547113349300674,7.62947754327754,2057.97453628386,5.02393133480005,152.007723917214,-1.03933773607167,0.261277798399146,0.0739414375339576,0.717094716368891,0.749120196911709
199,7.10423554491103e-07,-0.697414352884089,0.332385748172914,7.99189773410952,2956.90305414731,4.74114933924196,114.565801010423,-1.77674341375329,0.144705722497699,0.0658417517614588,0.352138925408125,0.46842951457015
200,1.05216560814973e-06,-0.585395299412417,0.357692082504575,7.49203522835833,1793.69896647639,4.46200141154423,86.6607795303516,-1.80969303556528,0.140675229254696,0.0305779855192777,0.409366879909894,0.409244381706326
201,4.15754352237244e-07,-0.550730549870058,0.365694932450597,7.7702195773707,2368.99140815461,4.74697686982165,115.235385837295,-1.93273207460283,0.126448489042218,0.0252989856985526,0.241779822341318,0.431032022593993
202,0.000519663732927382,0.488874704490465,0.619841305672793,8.44159478111552,4635.94240573441,4.52445159918734,92.2453245440892,-0.955584689530033,0.277763083903775,0.247044778951513,0.844998406522375,0.429465418129126
203,5.74588471574414e-05,-0.485109539401245,0.381046309993265,7.71925662515268,2251.28540942996,4.47066413397802,87.4147588510552,-2.07157667952006,0.111890266696597,0.0505732483479806,0.270423342198883,0.406230371663126
204,0.000397680633794403,0.806180916616935,0.691295084247154,8.247766143614,3819.08499809351,5.1187925938094,167.133449784079,-1.18819142167712,0.233582554598723,0.0596907578336554,0.170312371153155,0.459308351531933
205,1.98028289661127e-05,0.0794849096144554,0.519860772054842,8.04936084050443,3131.79261645538,5.25778798851875,192.056190587012,-1.40845382620005,0.196478043109247,0.0572405490373118,0.245887133908374,0.484250259615368
206,3.36445298910992e-06,0.828711178918972,0.696082346439516,8.49143299020914,4872.84381001589,5.00858589685203,149.692905200467,-1.60325833386923,0.167526710299524,0.0464197421639635,0.315273603643542,0.507513934627264
207,6.81443687629883e-06,-0.611628512183439,0.351687801834408,7.83975442879328,2539.58110924801,4.78164625094991,119.300587177678,-1.58125851124739,0.170617319977918,0.0598451585054123,0.287118326784947,0.407520742804556
208,9.35131314834349e-07,-0.567332226624752,0.361852627232844,7.8476092242227,2559.60754816248,4.46893594039472,87.2638196893355,-1.70906610470004,0.153284885513018,0.0386517559878382,0.452830767295005,0.473036222125537
209,1.12606944380669e-07,-0.616475221279334,0.350583531176652,7.65956420198517,2120.83297235586,4.64709843607225,104.281965384406,-2.00991625979586,0.118165703474746,0.0431172419666351,0.457011894612095,0.453710157475322
210,6.6266781269668e-08,-0.609654752698745,0.352137957518148,7.73641092182987,2290.237772238,4.66736055025895,106.416490442346,-1.77417173799782,0.145024299367137,0.0320034402595017,0.416193728027326,0.407761472567275
211,0.000312541624959125,-0.710969745505068,0.329384597303333,8.72496242729369,6154.64541250967,5.35149051938445,210.922447682204,-1.62847894840323,0.164038836601805,0.11056444786651,0.711436595653407,0.203911627167196
212,5.26395941160855e-06,-0.597868328605422,0.354831537881776,7.68361669736998,2172.46272072047,4.88791570180352,132.676747751169,-1.97054034148812,0.122330860667379,0.0237029410813704,0.59668254165978,0.383858787477732
213,5.7156108431478e-05,-0.43165707390708,0.393730707119175,7.65465008786876,2110.43652269944,4.76654668341089,117.512731794365,-1.67167444555075,0.158201059452403,0.0366507167863308,0.486225848902717,0.520200678764911
214,3.21536745452757e-06,-0.675768188043023,0.337206452673269,9.01543211069772,8229.10147318176,5.19043283645564,179.546250278091,-1.6657805388258,0.158987553687051,0.151539427603806,0.942056651577527,0.272855396553377
215,4.97820426225288e-07,-0.565817741310712,0.362202418185789,7.49730372496894,1803.17400107898,4.60926268875566,100.410088849265,-1.81470886984592,0.140069978691009,0.0463410952889162,0.48452673502035,0.497323241055672
216,3.63501306130112e-08,-0.630457468602607,0.347406815427919,7.85306173186423,2573.60194548642,4.71234122923197,111.312463064525,-1.83747533109733,0.137350154408423,0.0299076101139803,0.435773638873591,0.429963571300558
217,4.22126212590526e-07,-0.628087570093021,0.347944301846785,7.77791634692378,2387.29533930568,4.58849059747193,98.3458745633616,-1.78083559568941,0.144199985616059,0.0743501068777365,0.367721673578399,0.436386640645062
