"particle","weight","phi_logit","phi","log_K","K","log_psi","psi","mu_rho","rho","r","kappa","gamma"
180,0.000163922551987567,-0.496971210096829,0.378252709222887,11.4016685737979,89470.8876592005,4.66683484551228,106.360561490542,-0.319301979610543,0.420845870181863,0.138003610511758,0.620381832016988,0.513466582459411
181,0.0152723955242945,1.09963856901806,0.750192378190242,10.9291686317591,55779.8867989358,6.32521082362253,558.475541091357,-2.77896173187114,0.0584716888621474,0.139251091960682,1.69537731893325,0.119986373355757
182,6.0459771475061e-05,-0.140121081131572,0.465026932527576,10.2109058309571,27198.1933999058,6.50546693168764,668.787874710503,-1.8990349498461,0.130217737984303,0.258166545942119,1.58426749767666,0.298839448264616
183,9.50405385341414e-05,0.474226326821152,0.616383582216715,10.8654626236059,52337.1971383415,6.21038349933951,497.892155991524,-2.81589747834081,0.0564711273744766,0.102399903375767,1.33934548752641,0.458595203751027
184,0.00342443214354603,0.755795986235391,0.680440301832048,10.591438656754,39792.6959964504,6.1250958395685,457.188527920525,-3.17457322215914,0.0401338695551379,0.280047140832695,0.475408007827861,0.497794592943397
185,4.29955482867194e-05,0.56745787565214,0.638176386546775,9.45164911944644,12729.139836165,6.72981947882386,836.996156784705,-2.60767547069105,0.0686460707537438,0.34210520115948,1.45249526882797,0.411002119262614
186,0.00464300572213517,0.798305245234236,0.689611839980789,10.3390292493257,30916.0037438949,6.54926841336748,698.732803204217,-2.23010875473342,0.0970791076993002,0.558524705965859,1.30836450621382,0.240085335742876
187,0.000389250527864549,-0.251435351496494,0.437470241777354,9.58818256637552,14591.3266540002,5.90665949158237,367.476544300145,-3.09879931476861,0.0431568092083673,0.0671716960889505,0.35582752307114,0.320119473048006
188,8.05286820284343e-06,0.343424173272617,0.585022055033231,10.8386939872454,50954.7869057486,5.30543042760923,201.427683793696,-1.9968699884067,0.119531945055346,0.343128904299161,0.986490998383438,0.198545413301044
189,0.00013192309456179,0.269485037236043,0.566966477992363,11.085374373917,65210.4084460566,4.84192194854737,126.712653048373,-1.90171317536763,0.129914699571086,0.252040268166636,0.908097671693217,0.224477563935997
190,0.000290203638868979,-0.283353531170527,0.429631805690834,10.0641731977737,23486.3151806797,6.53590488598344,689.457382460317,-1.69829221663192,0.154688443048713,0.289756214754817,1.63047960893417,0.370351907949913
191,2.84143768407422e-05,0.383808515663733,0.594791341206897,10.6841417013479,43657.9947965581,4.86884039521647,130.16988372415,-2.10203538764937,0.10889914963742,0.303361246774488,1.02382295919894,0.296076382152451
192,0.054300897088567,0.110346049290348,0.52755855467344,10.1724883859336,26173.1246335356,6.65131182439031,773.798748088481,-1.80386444329804,0.141381299528862,0.337108589607964,1.78040653965706,0.211367609953513
193,5.58850412501821e-05,0.971651253643368,0.725448505290353,10.2795438692944,29130.5831692382,6.4706856747918,645.926470656908,-3.20343547066294,0.0390366444400934,0.230490059495849,0.747780074733157,0.456127774003017
194,1.67336044824261e-06,0.405307148733168,0.599962089151242,10.8956313415142,53940.2019959975,5.07531694223942,160.0229019598,-1.87751544493939,0.132674515397849,0.282087697144373,0.893566500302965,0.218866896788433
195,0.000165658792237754,-0.0533655582135413,0.486661775771327,10.1340916882211,25187.2120967354,6.82480219770532,920.394329933866,-1.61881326420636,0.165368600592784,0.291968434055836,1.57656897261702,0.375053047404555
196,2.97948507101009e-05,0.972787614846759,0.725674779734076,10.4240283278479,33658.7498942858,6.53438749460907,688.411999103599,-2.00577311531898,0.118598113228477,0.185195002498933,1.95612922244882,0.517632619436614
197,2.2027431033345e-05,0.83934010867384,0.698326217063183,10.3351771351428,30797.1408510953,6.65976764425198,780.369592698964,-2.33235309363898,0.0884787018711752,0.58607773244172,0.987305061294558,0.294541763229442
198,1.73998517920019e-05,0.335365684745281,0.583064354976615,10.644628538454,41966.5662443179,5.23701512464927,188.107785308292,-1.866035204715,0.134001149291934,0.348295789679822,1.00698674764544,0.254601089249011
199,2.37704862438558e-05,0.330155386870543,0.581797184380669,10.6135070701244,40680.6191527618,6.06867148746506,432.106241525269,-2.96021453488469,0.0492559584847771,0.109673457306087,1.42918238362369,0.456305614852254
200,0.000560404668008218,-0.42221400944534,0.395987078691575,11.6910126771067,119492.952904777,4.84805656980453,127.4923763917,-0.226191985465056,0.443691872690548,0.0905117471355513,0.724715793990575,0.496593709093171
201,0.0086808556269153,0.898276962995366,0.710595289331372,10.3583909549046,31520.4227154359,6.19040381865529,488.043147354806,-3.02339776714098,0.0463799633022884,0.106196850953325,0.854201595965764,0.374634324518347
202,7.24200081412932e-05,0.384052179500882,0.594850066392861,11.1617566818767,70386.4943326725,4.97524508411429,144.7843051334,-1.97383898842546,0.121977139056501,0.234185493089532,0.865429997805392,0.214303274784794
