"particle","weight","phi_logit","phi","log_K","K","log_psi","psi","mu_rho","rho","r","kappa","gamma","mu_s","log_sigma_s","sigma_s"
372,5.31273236303503e-06,0.490480797175539,0.620219689328418,10.7280520158745,45617.7427798906,4.50295978299682,90.2839571536891,-2.02860797457403,0.116231837330513,0.0695152811992958,0.225096328670944,0.276250314867412,5.28446719181322,2.37802642393831,10.7835995950156
373,2.62643492025783e-07,0.470889974725982,0.615594379830624,10.5839700887552,39496.6085913039,4.7300653413877,113.302965479786,-2.10607188585367,0.108508065274973,0.0482914425439335,0.259768899573613,0.254598627364262,5.30314050658968,2.358535064411,10.5754477494655
374,8.54604398814944e-08,0.530832811256521,0.629677331016194,10.9306198231801,55860.8928555506,4.68884008192858,108.726992234797,-2.35713208056982,0.0865005437472127,0.055272911868221,0.272206791113184,0.258638426521207,5.21376627019416,2.43887062470298,11.4600906881107
375,0.00021134977008054,0.549436816626698,0.634004918295711,10.5897171578664,39724.2518447295,5.00028536682293,148.455517337801,-2.25149014031311,0.0952210059415027,0.0747075768066916,0.194045636750848,0.269726655799873,5.46322546442278,2.52696574390522,12.5154733140039
376,4.29307262170753e-07,0.569115760417784,0.638559116455211,10.5230520720801,37162.373825119,4.80284103185225,121.856123333372,-2.29295059345282,0.0917084750386893,0.0647734069622949,0.240095005178184,0.268572485474305,5.2329789908007,2.3511449098014,10.4975816312413
377,2.20913262240858e-07,0.547397226868422,0.633531517194741,10.5799708756118,39338.9686630465,4.82737431195641,124.882626971995,-2.3008516321066,0.0910524537683401,0.0437724995736727,0.195774967461811,0.228456097969557,5.33081742464986,2.38517407941845,10.8609531687783
378,1.12981705701134e-06,0.558682801018604,0.63614771110917,10.5349147314493,37605.8435719215,4.62122037334799,101.617968350185,-2.23997803388961,0.0962174518591061,0.0618725573596377,0.131344747149864,0.22609954496376,4.9610322187547,2.40156539418654,11.0404455098359
379,2.76354553250672e-07,0.463097940627069,0.61374883596621,10.7438209709067,46342.7884970248,4.87859404225985,131.445726772445,-2.27219651610908,0.0934519600214418,0.0562052568262185,0.245580675991153,0.220621003006458,5.14287099958226,2.42118202567617,11.2591600687103
380,0.000340556250728131,0.480724269596809,0.617918885896202,10.9150819394533,54999.6411393012,4.85305520276638,128.131259427338,-2.32773556394608,0.0888518149932583,0.0243694295868063,0.0557052698271115,0.230417459183874,5.3068949845775,2.42019047129288,11.248001532254
381,5.64161695089576e-07,0.487311269653796,0.61947283195499,10.6860205997261,43740.1008424842,4.70194664377485,110.161408884296,-2.35468418931807,0.086694167596639,0.0629924429736475,0.112103893800799,0.27299058992024,5.16960208620534,2.42014949437418,11.2475406332529
382,4.16835822725788e-07,-0.602310905160397,0.353815173226431,9.40554131973293,12155.5522504499,6.67812188189233,794.824934232522,-4.02837082716897,0.0174918973220897,0.0572161841338503,0.153823516611219,0.579296532944901,7.57249995408526,1.8849524401463,6.58604120341026
383,5.49791300216811e-06,0.569484521994072,0.638644222783186,10.6660305203734,42874.4141559363,4.92608128163322,137.838303119208,-2.22472071054237,0.0975524217891543,0.049461817100001,0.108454871203735,0.282420232329323,5.13180915256556,2.41345737163048,11.1725220076681
384,3.39145201514207e-06,1.15629401993872,0.760658666909841,11.7282592039929,124027.575632052,6.44565755124827,629.960772294828,-3.05768367330386,0.0448869041487893,0.072219855062528,0.600636955834665,0.420364396881578,6.56220188200969,1.76708479370047,5.85376353496773
385,1.15563028335098e-06,0.495673586775752,0.621442070665913,10.4544361163937,34697.9579810046,4.76197156105037,116.976324667269,-2.29778177154318,0.0913068404351874,0.0663347247266155,0.184533727813233,0.25058778441365,5.39881042140431,2.50734093416381,12.2722539046481
386,4.76286928970657e-06,0.440817625692299,0.608453837327744,10.9728994039374,58273.3065550542,4.88666778309475,132.511281221295,-2.26541460355889,0.0940281010889313,0.0385813608192161,0.312023672570667,0.22098646596786,5.26777977201462,2.37009548286238,10.6984137505119
387,5.92196566926753e-06,-0.630121349144608,0.347483022766326,9.40468825408376,12145.1871880463,6.51159472546888,672.898651021636,-4.04367939651999,0.0172307394529201,0.0396173736490823,0.134958046398083,0.569520059927165,7.85588256528228,1.81193375748068,6.12227498778935
388,0.0216140169675089,0.977395854423698,0.726591191449042,10.6249685530966,41149.5616310317,5.84588652868385,345.808975505787,-2.73366919242258,0.0610156059610896,0.0546249090149076,0.529481530800449,0.257715240867325,7.11718203010403,1.44832477820519,4.2559788314145
389,2.71394876559683e-06,0.411724782606788,0.601501377164001,11.0788817083123,64788.3905630653,4.77425926919372,118.422562884041,-2.31928753713763,0.0895381230699207,0.0425345789980919,0.138876956008773,0.250138942259431,5.31692253233853,2.43814567810454,11.4517857450323
390,2.2230930118917e-06,0.188466106597901,0.546977557389103,7.59170058161432,1981.68065957661,5.71853762651843,304.459363949419,-1.88309193377589,0.132034131153289,0.0947302653101352,2.0948245661606,0.136276825991561,3.92758125425556,1.66239072947612,5.27189947591701
391,1.39762108805772e-05,0.272260558681256,0.567647784432596,7.85117016001264,2568.73839381801,5.57353240475698,263.362761941456,-1.77667225395185,0.144714529882674,0.102681278987467,1.99185866188397,0.163356150334082,4.12439625633314,1.64523935545277,5.18225015834514
